CollectionYearRange,Parent_Org_Code,Parent_Org_Name,Org_Code,Org_Name,Child_Age,Indicator,Value
2023-24,E12000001,North East,E06000005,Darlington,5yr,5y_Eligible_Pop,1194.0
2023-24,E12000001,North East,E06000005,Darlington,5yr,DTaP_IPV_5y,1046.0
2023-24,E12000001,North East,E06000005,Darlington,5yr,DTaP_IPV_Hib_HepB_5y,1125.0
2023-24,E12000001,North East,E06000005,Darlington,5yr,Hib_MenC_5y,1070.0
2023-24,E12000001,North East,E06000005,Darlington,5yr,MMR1_5y,1112.0
2023-24,E12000001,North East,E06000005,Darlington,5yr,MMR2_5y,1049.0
2023-24,E12000001,North East,E08000037,Gateshead,12m,12m_Eligible_Pop,1832.0
2023-24,E12000001,North East,E08000037,Gateshead,12m,DTaP_IPV_Hib_HepB_12m,1722.0
2023-24,E12000001,North East,E08000037,Gateshead,12m,MenB_12m,1710.0
2023-24,E12000001,North East,E08000037,Gateshead,12m,PCV_12m,1770.0
2023-24,E12000001,North East,E08000037,Gateshead,12m,Rota_12m,1662.0
2023-24,E12000001,North East,E08000037,Gateshead,24m,24m_Eligible_Pop,2007.0
2023-24,E12000001,North East,E08000037,Gateshead,24m,DTaP_IPV_Hib_HepB_24m,1915.0
2023-24,E12000001,North East,E08000037,Gateshead,24m,Hib_MenC_24m,1862.0
2023-24,E12000001,North East,E08000037,Gateshead,24m,MMR_24m,1894.0
2023-24,E12000001,North East,E08000037,Gateshead,24m,MenB_booster_24m,1842.0
2023-24,E12000001,North East,E08000037,Gateshead,24m,PCV_24m,1855.0
2023-24,E12000001,North East,E08000037,Gateshead,5yr,5y_Eligible_Pop,2096.0
2023-24,E12000001,North East,E08000037,Gateshead,5yr,DTaP_IPV_5y,1847.0
2023-24,E12000001,North East,E08000037,Gateshead,5yr,DTaP_IPV_Hib_HepB_5y,1986.0
2023-24,E12000001,North East,E08000037,Gateshead,5yr,Hib_MenC_5y,1947.0
2023-24,E12000001,North East,E08000037,Gateshead,5yr,MMR1_5y,1991.0
2023-24,E12000001,North East,E08000037,Gateshead,5yr,MMR2_5y,1819.0
2023-24,E12000001,North East,E06000001,Hartlepool,12m,12m_Eligible_Pop,933.0
2023-24,E12000001,North East,E06000001,Hartlepool,12m,DTaP_IPV_Hib_HepB_12m,867.0
2023-24,E12000001,North East,E06000001,Hartlepool,12m,MenB_12m,869.0
2023-24,E12000001,North East,E06000001,Hartlepool,12m,PCV_12m,902.0
2023-24,E12000001,North East,E06000001,Hartlepool,12m,Rota_12m,865.0
2023-24,E12000001,North East,E06000001,Hartlepool,24m,24m_Eligible_Pop,935.0
2023-24,E12000001,North East,E06000001,Hartlepool,24m,DTaP_IPV_Hib_HepB_24m,877.0
2023-24,E12000001,North East,E06000001,Hartlepool,24m,Hib_MenC_24m,871.0
2023-24,E12000001,North East,E06000001,Hartlepool,24m,MMR_24m,874.0
2023-24,E12000001,North East,E06000001,Hartlepool,24m,MenB_booster_24m,861.0
2023-24,E12000001,North East,E06000001,Hartlepool,24m,PCV_24m,870.0
2023-24,E12000001,North East,E06000001,Hartlepool,5yr,5y_Eligible_Pop,1088.0
2023-24,E12000001,North East,E06000001,Hartlepool,5yr,DTaP_IPV_5y,949.0
2023-24,E12000001,North East,E06000001,Hartlepool,5yr,DTaP_IPV_Hib_HepB_5y,1036.0
2023-24,E12000001,North East,E06000001,Hartlepool,5yr,Hib_MenC_5y,1020.0
2023-24,E12000001,North East,E06000001,Hartlepool,5yr,MMR1_5y,1049.0
2023-24,E12000001,North East,E06000001,Hartlepool,5yr,MMR2_5y,970.0
2023-24,E12000001,North East,E06000002,Middlesbrough,12m,12m_Eligible_Pop,1830.0
2023-24,E12000001,North East,E06000002,Middlesbrough,12m,DTaP_IPV_Hib_HepB_12m,1671.0
2023-24,E12000001,North East,E06000002,Middlesbrough,12m,MenB_12m,1634.0
2023-24,E12000001,North East,E06000002,Middlesbrough,12m,PCV_12m,1724.0
2023-24,E12000001,North East,E06000002,Middlesbrough,12m,Rota_12m,1612.0
2023-24,E12000001,North East,E06000002,Middlesbrough,24m,24m_Eligible_Pop,1888.0
2023-24,E12000001,North East,E06000002,Middlesbrough,24m,DTaP_IPV_Hib_HepB_24m,1725.0
2023-24,E12000001,North East,E06000002,Middlesbrough,24m,Hib_MenC_24m,1627.0
2023-24,E12000001,North East,E06000002,Middlesbrough,24m,MMR_24m,1640.0
2023-24,E12000001,North East,E06000002,Middlesbrough,24m,MenB_booster_24m,1600.0
2023-24,E12000001,North East,E06000002,Middlesbrough,24m,PCV_24m,1616.0
2023-24,E12000001,North East,E06000002,Middlesbrough,5yr,5y_Eligible_Pop,2048.0
2023-24,E12000001,North East,E06000002,Middlesbrough,5yr,DTaP_IPV_5y,1560.0
