Year,OrgCode,OrgName,OrgType,VacCode,Value
2014-15,E08000011,Knowsley,LA,DtaP_IPV_Hib_5y,96.49122807017544
2014-15,E08000012,Liverpool,LA,DtaP_IPV_Hib_5y,96.74079754601227
2014-15,E08000013,St. Helens,LA,DtaP_IPV_Hib_5y,98.12909260991582
2014-15,E08000014,Sefton,LA,DtaP_IPV_Hib_5y,97.7930535455861
2014-15,E08000015,Wirral,LA,DtaP_IPV_Hib_5y,97.94377928162416
2014-15,E08000016,Barnsley,LA,DtaP_IPV_Hib_5y,98.30395743265713
2014-15,E08000017,Doncaster,LA,DtaP_IPV_Hib_5y,96.92347466390899
2014-15,E08000018,Rotherham,LA,DtaP_IPV_Hib_5y,96.22407923243578
2014-15,E08000019,Sheffield,LA,DtaP_IPV_Hib_5y,95.84014262368147
2014-15,E08000021,Newcastle upon Tyne,LA,DtaP_IPV_Hib_5y,96.21413782904466
2014-15,E08000022,North Tyneside,LA,DtaP_IPV_Hib_5y,98.32721338229294
2014-15,E08000023,South Tyneside,LA,DtaP_IPV_Hib_5y,99.0453460620525
2014-15,E08000024,Sunderland,LA,DtaP_IPV_Hib_5y,98.90251775338929
2014-15,E08000025,Birmingham,LA,DtaP_IPV_Hib_5y,95.14485144233738
2014-15,E08000026,Coventry,LA,DtaP_IPV_Hib_5y,98.08548530721282
2014-15,E08000027,Dudley,LA,DtaP_IPV_Hib_5y,98.64937871420854
2014-15,E08000028,Sandwell,LA,DtaP_IPV_Hib_5y,95.13765541740675
2014-15,E08000029,Solihull,LA,DtaP_IPV_Hib_5y,97.05319556065824
2014-15,E08000030,Walsall,LA,DtaP_IPV_Hib_5y,98.29210836277974
2014-15,E08000031,Wolverhampton,LA,DtaP_IPV_Hib_5y,95.6484882735236
2014-15,E08000032,Bradford,LA,DtaP_IPV_Hib_5y,97.00710376149995
2014-15,E08000033,Calderdale,LA,DtaP_IPV_Hib_5y,97.42268041237114
2014-15,E08000034,Kirklees,LA,DtaP_IPV_Hib_5y,98.65384615384616
2014-15,E08000035,Leeds,LA,DtaP_IPV_Hib_5y,96.54229341668295
2014-15,E08000036,Wakefield,LA,DtaP_IPV_Hib_5y,97.33707077785564
2014-15,E08000037,Gateshead,LA,DtaP_IPV_Hib_5y,97.52242631354122
2014-15,E09000002,Barking and Dagenham,LA,DtaP_IPV_Hib_5y,91.35924733845012
2014-15,E09000003,Barnet,LA,DtaP_IPV_Hib_5y,93.04293324976496
2014-15,E09000004,Bexley,LA,DtaP_IPV_Hib_5y,96.42857142857143
2014-15,E09000005,Brent,LA,DtaP_IPV_Hib_5y,90.94164735622499
2014-15,E09000006,Bromley,LA,DtaP_IPV_Hib_5y,96.81377825618945
2014-15,E09000007,Camden,LA,DtaP_IPV_Hib_5y,93.04556354916068
2014-15,E09000008,Croydon,LA,DtaP_IPV_Hib_5y,92.34297812279463
2014-15,E09000009,Ealing,LA,DtaP_IPV_Hib_5y,93.53893600616809
2014-15,E09000010,Enfield,LA,DtaP_IPV_Hib_5y,93.5834813499112
2014-15,E09000011,Greenwich,LA,DtaP_IPV_Hib_5y,94.03287547849584
2014-15,E09000012,Hackney and City of London,LA,DtaP_IPV_Hib_5y,93.8880706921944
2014-15,E09000013,Hammersmith and Fulham,LA,DtaP_IPV_Hib_5y,85.92826172644857
2014-15,E09000014,Haringey,LA,DtaP_IPV_Hib_5y,91.43229166666667
2014-15,E09000015,Harrow,LA,DtaP_IPV_Hib_5y,90.00636537237429
